id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,popularity,release_decade,detailed_mood,vocal_presence,instrumentalness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18,85,2010,euphoric,0.9,0.0
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71,40,2020,serene,0.1,0.9
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10,65,1990,aggressive,0.8,0.2
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86,50,2020,nostalgic,0.0,1.0
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05,90,2020,euphoric,0.6,0.1
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92,15,2000,serene,0.0,1.0
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89,55,1980,nostalgic,0.4,0.6
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22,60,1980,nostalgic,0.2,0.8
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78,45,2020,serene,0.0,1.0
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35,75,2010,euphoric,0.85,0.1
11,Country Road,Dusty Boots,country,relaxed,0.50,100,0.60,0.55,0.60,80,1990,nostalgic,0.9,0.4
12,Cyberpunk Battle,Neon Echo,cyberpunk,intense,0.95,160,0.30,0.70,0.01,70,2020,aggressive,0.1,0.9
13,Classical Study,String Quartet,classical,focused,0.20,65,0.40,0.30,0.95,30,1980,serene,0.0,1.0
14,Reggae Vibes,Island Sound,reggae,happy,0.60,95,0.85,0.80,0.30,65,1990,euphoric,0.7,0.3
15,Heavy Metal Nightmare,Iron Skulls,metal,intense,0.98,170,0.20,0.40,0.01,40,1980,aggressive,0.9,0.3
16,Deep House Groove,DJ Orbit,house,upbeat,0.85,125,0.75,0.90,0.05,88,2010,euphoric,0.3,0.7
17,Acoustic Sunset,Solo Guitar,folk,relaxed,0.30,85,0.50,0.50,0.85,50,1990,nostalgic,0.1,0.9
18,Moody Trap,Bass Heavens,hiphop,moody,0.70,140,0.40,0.85,0.15,95,2020,aggressive,0.8,0.2
